miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-7663-3p,1,1,1,0,0,1,0,0
mmu-miR-7661-5p,1,1,0,1,1,0,1,3
mmu-miR-7661-3p,14,8,13,12,16,6,27,11
mmu-miR-7660-5p,0,0,0,0,0,0,0,1
mmu-miR-7660-3p,0,0,0,0,0,3,0,0
mmu-miR-7659-5p,7,6,7,4,4,2,5,3
mmu-miR-7658-5p,2,0,3,3,2,4,0,2
mmu-miR-7658-3p,0,2,0,0,2,0,0,0
mmu-miR-7657-5p,0,0,0,0,1,1,0,0
mmu-miR-7657-3p,0,0,0,0,1,0,1,0
mmu-miR-7656-5p,2,2,3,3,24,13,7,10
mmu-miR-7656-3p,0,0,0,0,3,1,0,0
mmu-miR-7655-5p,2,3,8,3,0,1,3,0
mmu-miR-7655-3p,2,1,0,5,1,2,1,1
mmu-miR-7654-5p,8,14,6,7,7,2,7,7
mmu-miR-7654-3p,5,10,12,4,3,1,2,3
mmu-miR-7653-5p,3,0,4,5,2,5,4,2
mmu-miR-7653-3p,2,9,2,4,1,0,5,6
mmu-miR-7652-5p,4,1,0,0,1,1,1,1
mmu-miR-7652-3p,13,6,4,5,3,6,4,4
mmu-miR-7651-5p,5,0,10,5,10,8,2,6
mmu-miR-7651-3p,1,0,0,0,0,0,0,0
mmu-miR-7650-5p,10,1,6,8,4,1,6,4
mmu-miR-7650-3p,0,0,0,0,2,0,0,0
mmu-miR-7649-5p,6,8,2,0,1,3,1,3
mmu-miR-7649-3p,192,96,70,113,16,23,45,59
mmu-miR-7648-5p,2,2,1,0,0,0,1,0
mmu-miR-7648-3p,5,3,5,3,2,1,8,2
mmu-miR-7647-5p,3,4,4,5,0,2,4,0
mmu-miR-7647-3p,6,5,1,1,5,2,0,3
mmu-miR-7646-5p,0,0,0,2,4,1,1,2
mmu-miR-764-5p,0,0,5,2,0,0,0,0
mmu-miR-764-3p,0,0,29,6,0,0,0,0
mmu-miR-760-5p,4,4,4,1,4,0,0,4
mmu-miR-760-3p,4,3,15,14,6,1,10,6
mmu-miR-758-5p,12,7,8,6,6,4,12,9
mmu-miR-758-3p,1019,976,1338,846,771,507,1562,1237
mmu-miR-744-5p,28911,35405,40744,28774,13432,8627,17450,15474
mmu-miR-744-3p,504,420,533,376,197,111,347,250
mmu-miR-743b-3p,0,0,0,0,1,0,2,1
mmu-miR-743a-5p,0,0,0,0,1,0,0,0
mmu-miR-743a-3p,0,0,0,0,0,1,0,0
mmu-miR-741-3p,0,0,3,3,1,0,3,1
mmu-miR-7240-5p,1,0,1,0,0,0,0,0
mmu-miR-7239-3p,0,0,0,0,0,0,2,0
mmu-miR-7238-5p,0,1,0,0,0,1,0,0
mmu-miR-7237-5p,1,0,0,0,1,0,2,0
mmu-miR-7237-3p,3,1,0,0,0,2,0,1
mmu-miR-7236-3p,6,9,8,4,13,4,11,4
mmu-miR-7235-3p,3,0,2,0,1,0,0,0
mmu-miR-7231-5p,5,3,3,2,2,0,1,2
mmu-miR-7227-3p,4,1,0,0,1,1,2,3
mmu-miR-7226-5p,0,0,0,0,0,0,1,0
mmu-miR-7226-3p,9,12,6,4,2,2,2,1
mmu-miR-7224-5p,1,1,1,2,0,0,2,3
mmu-miR-7224-3p,61,54,90,61,34,32,76,64
mmu-miR-7222-3p,0,0,0,0,0,0,2,0
mmu-miR-7219-5p,0,0,0,0,2,0,1,0
mmu-miR-7219-3p,19,4,7,3,44,23,15,19
mmu-miR-7213-5p,2,0,0,0,1,0,0,3
mmu-miR-7213-3p,0,0,0,0,1,0,0,0
mmu-miR-7212-5p,2,2,2,2,0,0,1,0
mmu-miR-7212-3p,0,0,0,2,0,0,0,0
mmu-miR-713,0,0,0,1,0,0,0,0
mmu-miR-712-5p,1,0,0,0,0,0,0,2
mmu-miR-7119-5p,2,0,0,0,0,0,0,0
mmu-miR-7118-5p,0,0,0,0,0,0,0,3
mmu-miR-7118-3p,5,4,3,6,9,5,1,5
mmu-miR-7117-5p,4,3,5,3,2,0,2,0
mmu-miR-7116-5p,0,1,0,2,3,0,1,1
mmu-miR-7116-3p,0,3,0,3,3,0,1,2
mmu-miR-7115-5p,7,2,1,1,11,7,4,4
mmu-miR-7115-3p,1,1,0,0,3,2,0,0
mmu-miR-7093-5p,1,3,2,1,0,1,4,1
mmu-miR-7093-3p,6,1,6,4,2,5,2,4
mmu-miR-7092-5p,4,1,2,5,9,5,8,0
mmu-miR-7092-3p,5,1,0,1,0,2,3,0
mmu-miR-7091-5p,2,10,4,7,3,5,2,3
mmu-miR-7091-3p,2,0,1,1,3,3,0,0
mmu-miR-7090-5p,1,2,2,1,0,0,1,0
mmu-miR-709,3,6,7,4,12,5,7,7
mmu-miR-7089-5p,0,0,5,2,0,0,1,2
mmu-miR-7089-3p,0,0,0,0,1,0,0,0
mmu-miR-7088-3p,0,0,0,3,0,0,0,0
mmu-miR-7087-5p,3,3,2,0,0,0,0,0
mmu-miR-7086-5p,0,0,0,0,2,0,0,0
mmu-miR-7085-5p,0,0,1,1,2,0,0,0
mmu-miR-7085-3p,5,3,4,4,5,4,6,5
mmu-miR-7084-5p,2,0,1,5,4,2,1,2
mmu-miR-7084-3p,0,2,0,1,0,0,1,0
mmu-miR-7083-5p,18,9,13,16,8,9,7,13
mmu-miR-7083-3p,1,0,0,0,0,0,0,0
mmu-miR-7082-3p,3,7,1,2,3,1,2,1
mmu-miR-7081-3p,9,7,0,8,8,2,7,3
mmu-miR-7080-3p,2,1,1,0,0,0,0,0
mmu-miR-708-5p,3005,1908,2378,1910,7957,4472,5635,3386
mmu-miR-708-3p,1989,1317,1267,820,5995,3219,4103,2614
mmu-miR-7079-5p,2,1,0,0,0,0,0,0
mmu-miR-7079-3p,0,2,2,2,1,2,0,1
mmu-miR-7078-5p,0,2,0,0,0,0,0,0
mmu-miR-7077-5p,0,0,0,0,0,0,0,1
mmu-miR-7077-3p,1,0,0,1,1,0,0,0
mmu-miR-7075-3p,1,0,0,0,0,0,2,0
mmu-miR-7074-3p,3,3,6,3,1,2,4,3
mmu-miR-7073-5p,11,11,2,9,13,10,7,1
mmu-miR-7073-3p,0,0,0,1,1,0,0,1
mmu-miR-7072-5p,0,0,0,0,0,0,0,1
mmu-miR-7071-5p,0,0,2,1,1,0,0,1
mmu-miR-7071-3p,0,1,0,0,1,0,0,0
mmu-miR-7070-5p,0,0,2,0,1,1,0,0
mmu-miR-7070-3p,0,2,3,0,1,0,3,4
mmu-miR-7069-5p,19,11,20,19,5,1,5,12
mmu-miR-7069-3p,4,3,1,2,7,2,3,1
mmu-miR-7068-5p,1,2,1,0,0,0,0,1
mmu-miR-7068-3p,22,14,12,9,8,1,14,10
mmu-miR-7067-5p,1,0,0,1,0,0,0,0
mmu-miR-7067-3p,0,2,0,1,0,0,1,0
mmu-miR-7065-5p,2,0,0,0,1,0,0,0
mmu-miR-7065-3p,2,0,1,2,0,1,3,3
mmu-miR-7064-5p,8,9,8,11,4,4,4,0
mmu-miR-7063-5p,17,15,19,9,12,3,4,1
mmu-miR-7063-3p,2,1,0,0,0,0,0,0
mmu-miR-7062-5p,3,6,6,4,33,10,10,9
mmu-miR-7062-3p,0,0,0,0,2,1,4,0
mmu-miR-7061-5p,1,3,3,7,3,3,9,1
mmu-miR-7061-3p,0,0,0,0,0,1,0,0
mmu-miR-7060-5p,1,0,0,0,0,0,0,1
mmu-miR-7060-3p,0,0,0,0,2,0,0,0
mmu-miR-706,4,1,1,1,0,1,1,0
mmu-miR-7059-5p,1,0,4,4,6,5,5,5
mmu-miR-7059-3p,0,0,0,0,1,0,0,0
mmu-miR-7058-5p,0,0,0,1,1,0,0,0
mmu-miR-7057-5p,0,1,2,1,1,0,3,0
mmu-miR-7057-3p,6,4,0,9,3,4,7,10
mmu-miR-7054-5p,3,4,3,7,5,3,0,5
mmu-miR-7054-3p,2,0,0,0,1,0,0,1
mmu-miR-7052-5p,0,1,4,1,1,1,2,1
mmu-miR-7052-3p,2,1,1,0,0,0,0,0
mmu-miR-7051-5p,1,0,2,3,0,0,0,0
mmu-miR-7051-3p,1,2,0,0,0,0,0,0
mmu-miR-7050-5p,0,2,0,1,0,0,0,0
mmu-miR-7049-5p,3,2,1,3,3,2,2,4
mmu-miR-7048-3p,0,0,0,0,1,0,0,0
mmu-miR-7047-5p,0,2,0,0,0,0,0,0
mmu-miR-7046-5p,2,0,3,0,2,1,0,0
mmu-miR-7046-3p,0,3,1,1,0,0,0,1
mmu-miR-7045-5p,0,0,0,0,0,1,0,0
mmu-miR-7045-3p,1,1,1,3,0,0,0,3
mmu-miR-7044-5p,0,2,0,0,0,0,0,0
mmu-miR-7043-5p,2,1,0,1,4,0,3,0
mmu-miR-7043-3p,6,0,3,2,11,4,1,2
mmu-miR-7042-5p,5,6,16,2,2,2,2,1
