"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"872","Psrc1",1608.087,1722.696,814.0786,746.2476,1835.726468,1857.790182,1205.192317,1258.398326,"DBT"
"885","Eif2b3",1224.003715,1151.818079,542.2758279,496.0358462,1087.700445,1149.247099,605.0672926,624.9337262,"DBT"
"887","Tiam1",668.4094,677.2562,184.6085,216.3622,609.4804977,504.8626604,271.3536479,174.0235812,"DBT"
"888","Cfap43",944.0641048,925.8139195,419.3084674,384.9666356,1025.229335,966.7090771,512.4688414,461.7171097,"DBT"
"892","Phlda3",4480.627,5046.322,2012.259,2132.063,4827.52341,4832.760497,2762.01904,2665.730623,"DBT"
"898","Kansl2",4313.939,4269.523,2349.601,2331.072,4055.859647,4176.501164,2577.840196,2545.544973,"DBT"
"901","Gm15280",1698.720895,1741.38267,140.922791,204.0269074,1531.256057,1622.213155,132.9716852,138.5661197,"DBT"
"903","Arxes1",653.0175191,637.0600814,176.3935233,165.3890721,590.9567511,593.6009819,312.3130772,257.385586,"DBT"
"904","Lrrc17",4593.523,4330.493,2031.868,1798.504,3727.433339,3702.121225,3613.847837,2688.595501,"DBT"
"908","Celf1",5139.2252,5104.471498,2618.646812,2685.155502,4770.288309,4539.484227,3258.602269,2971.811353,"DBT"
"914","Utp4",2897.883,2801.513,1404.717,1406.596,2477.116805,2430.399175,1419.172369,1385.814827,"DBT"
"915","Vgll3",9724.054,9728.55,4103.499,3528.948,10807.76869,10634.85218,5629.93179,4660.284152,"DBT"
"919","Otub2",1082.558,1169.955,369.7762,352.8741,1214.866336,1280.307548,668.16739,815.6827886,"DBT"
"921","Arl14ep",2465.239886,2251.129387,1018.326244,910.3884737,2138.558746,2120.298972,1118.131252,1095.914597,"DBT"
"922","Bicd2",6208.4867,6302.997905,3576.453122,3546.14407,6726.567038,6478.405887,4624.670611,4449.782146,"DBT"
