ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-7238-5p,0,1,0,1
mmu-miR-7237-5p,1,0,1,0
mmu-miR-7237-3p,3,1,0,2
mmu-miR-7236-3p,6,9,13,4
mmu-miR-7235-3p,3,0,1,0
mmu-miR-7231-5p,5,3,2,0
mmu-miR-7227-3p,4,1,1,1
mmu-miR-7226-5p,0,0,0,0
mmu-miR-7226-3p,9,12,2,2
mmu-miR-7224-5p,1,1,0,0
mmu-miR-7224-3p,61,54,34,32
mmu-miR-7222-3p,0,0,0,0
mmu-miR-7219-5p,0,0,2,0
mmu-miR-7219-3p,19,4,44,23
mmu-miR-7213-5p,2,0,1,0
mmu-miR-7213-3p,0,0,1,0
mmu-miR-7212-5p,2,2,0,0
mmu-miR-7212-3p,0,0,0,0
mmu-miR-713,0,0,0,0
mmu-miR-712-5p,1,0,0,0
mmu-miR-7119-5p,2,0,0,0
mmu-miR-7118-5p,0,0,0,0
mmu-miR-7118-3p,5,4,9,5
mmu-miR-7117-5p,4,3,2,0
mmu-miR-7116-5p,0,1,3,0
mmu-miR-7116-3p,0,3,3,0
mmu-miR-7115-5p,7,2,11,7
mmu-miR-7115-3p,1,1,3,2
mmu-miR-7093-5p,1,3,0,1
mmu-miR-7093-3p,6,1,2,5
mmu-miR-7092-5p,4,1,9,5
mmu-miR-7092-3p,5,1,0,2
mmu-miR-7091-5p,2,10,3,5
mmu-miR-7091-3p,2,0,3,3
mmu-miR-7090-5p,1,2,0,0
mmu-miR-709,3,6,12,5
mmu-miR-7089-5p,0,0,0,0
mmu-miR-7089-3p,0,0,1,0
mmu-miR-7088-3p,0,0,0,0
mmu-miR-7087-5p,3,3,0,0
mmu-miR-7086-5p,0,0,2,0
mmu-miR-7085-5p,0,0,2,0
mmu-miR-7085-3p,5,3,5,4
mmu-miR-7084-5p,2,0,4,2
mmu-miR-7084-3p,0,2,0,0
mmu-miR-7083-5p,18,9,8,9
mmu-miR-7083-3p,1,0,0,0
mmu-miR-7082-3p,3,7,3,1
mmu-miR-7081-3p,9,7,8,2
mmu-miR-7080-3p,2,1,0,0
mmu-miR-708-5p,3005,1908,7957,4472
mmu-miR-708-3p,1989,1317,5995,3219
mmu-miR-7079-5p,2,1,0,0
mmu-miR-7079-3p,0,2,1,2
mmu-miR-7078-5p,0,2,0,0
mmu-miR-7077-5p,0,0,0,0
mmu-miR-7077-3p,1,0,1,0
mmu-miR-7075-3p,1,0,0,0
mmu-miR-7074-3p,3,3,1,2
mmu-miR-7073-5p,11,11,13,10
mmu-miR-7073-3p,0,0,1,0
mmu-miR-7072-5p,0,0,0,0
mmu-miR-7071-5p,0,0,1,0
mmu-miR-7071-3p,0,1,1,0
mmu-miR-7070-5p,0,0,1,1
mmu-miR-7070-3p,0,2,1,0
mmu-miR-7069-5p,19,11,5,1
mmu-miR-7069-3p,4,3,7,2
mmu-miR-7068-5p,1,2,0,0
mmu-miR-7068-3p,22,14,8,1
mmu-miR-7067-5p,1,0,0,0
mmu-miR-7067-3p,0,2,0,0
mmu-miR-7065-5p,2,0,1,0
mmu-miR-7065-3p,2,0,0,1
mmu-miR-7064-5p,8,9,4,4
mmu-miR-7063-5p,17,15,12,3
