"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"371","Ccl9",299.1051127,261.4925071,2992.071545,3718.734744,222.6870198,207.8950904,589.9301831,724.484184,"UBT"
"373","Ms4a6c",84.49521,69.05732,2235.284,3226.411,28.55538915,22.93886313,399.1348031,627.4462755,"UBT"
"374","Rab31",2760.197,2688.265,8998.484,10422.8,2832.898827,2815.624489,6557.066607,7122.898631,"UBT"
"376","Bin2",12.04827337,12.77267451,296.92505,388.5488186,3.442838883,2.828879821,57.37281807,89.03493672,"UBT"
"377","Cd14",158.1877659,181.134466,2272.550207,3049.125742,93.81106845,103.5291999,578.9348636,1097.779279,"UBT"
"378","Itih5",104.8994,77.68271,1206.966,1149.809,91.97867838,81.0572362,734.5676157,495.8179782,"UBT"
"380","Fads1",4930.784567,4663.493711,9888.480794,10131.62763,3931.270087,4031.16822,10540.39018,10471.12543,"UBT"
"381","Ly86",24.00306,23.75874,1072.602,988.3946,9.372977613,8.943235207,409.6541917,641.0204867,"UBT"
"383","Arsa",920.4332642,983.7202916,2469.202059,2269.448753,1161.533961,1177.467846,2754.315041,2376.725808,"UBT"
"384","H2-M3",117.742,145.6743,892.2619,982.1999,99.67426023,105.3779356,401.6885014,409.5561157,"UBT"
"385","Naglu",248.218,261.4702,1351.779,1656.497,288.297764,278.5956407,911.4867171,893.0754567,"UBT"
"386","Pcolce",7123.938,6796.282,15510.02,14355.46,6166.539364,6055.206194,20777.10961,20050.30796,"UBT"
"387","Erp29",9179.578664,9520.559655,19213.99262,20325.01113,8440.640988,8257.849839,16382.95076,16994.09293,"UBT"
"388","Adgre1",404.1284279,458.8855715,12178.27631,18229.03017,192.4060923,183.8158765,1927.936791,3621.912508,"UBT"
"393","Cnr2",19.69609257,24.58090707,478.2781688,658.1562103,4.986478049,4.728280839,69.59775615,116.9534502,"UBT"
"394","Rnf150",265.9548,252.6626,1014.577,1197.376,214.5780467,218.8382131,538.1257145,439.0735727,"UBT"
"399","Robo2",499.2736,497.0758,4588.774,4159.033,537.1129798,632.4840721,4062.57098,2609.808152,"UBT"
"400","Lgals9",3172.987,3203.952,6813.426,6644.537,3314.95354,3326.874677,5639.199643,5180.202247,"UBT"
