"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1492",4294,"Prss12",327.1611,383.3534,209.4777,205.0522,429.9673971,404.8731209,221.295754,178.3891329,"DBT"
"1493",4295,"Pde4dip",3295.812,3347.055,2037.256,1628.76,3268.069776,3363.892554,2967.713025,2942.592551,"DBT"
"1494",4297,"Cyb5d1",1000.239996,997.8190226,718.8258566,695.6067334,998.7482678,1028.680712,846.8398311,929.8310675,"DBT"
"1495",4302,"Trnt1",1048.94,888.2887,583.659,619.8434,775.6109836,922.4914121,640.4309712,664.669516,"DBT"
"1496",4307,"Rnf169",1268.019,1287.076,899.478,940.681,1372.49713,1370.008372,845.0119635,790.7933988,"DBT"
"1497",4308,"Fat1",49852.24655,50352.12702,31726.7856,25718.09479,57504.88896,56384.11753,44771.08986,35997.40405,"DBT"
"1498",4309,"Pcgf6",515.009,483.9836,332.8997,289.1236,441.6937806,455.713353,349.2487492,344.1115818,"DBT"
"1499",4310,"Abhd2",2250.148683,2390.011358,1819.176768,1701.544692,2776.973308,2585.027017,2207.485661,2057.293897,"DBT"
"1500",4311,"Nup43",505.2573,447.5258,297.1868,292.8176,334.0173208,355.7191218,272.4949776,285.0665392,"DBT"
"1501",4313,"Ptpn2",991.9211,997.5398,740.2065,661.7095,837.4365614,920.0267563,753.722012,733.4881183,"DBT"
"1502",4314,"Ccdc137",207.7078976,219.6557225,99.45399532,117.3170466,204.0404846,190.1923697,137.6618898,156.8483926,"DBT"
"1503",4317,"Zfp317",820.9434,825.2139,561.5414,563.2896,830.5424637,830.3303404,587.6577126,587.2098268,"DBT"
"1504",4318,"Rcc2",1308.397,1293.739,939.5673,1003.993,1070.498578,1115.459471,754.2194358,761.1608594,"DBT"
"1505",4321,"Gemin2",402.7526388,418.0677858,236.6054988,248.5372753,318.6668276,358.8753174,231.0908959,237.1300084,"DBT"
