"target_symbol","target_entrez","target_ensembl"
"Arhgef1","16801","ENSMUSG00000040940"
"Tmed1","17083","ENSMUSG00000032180"
"Mgrn1","17237","ENSMUSG00000022517"
"Mdk","17242","ENSMUSG00000027239"
"Nfic","18029","ENSMUSG00000055053"
"Nsdhl","18194","ENSMUSG00000031349"
"Pfn2","18645","ENSMUSG00000027805"
"Pik3r3","18710","ENSMUSG00000028698"
"Ptn","19242","ENSMUSG00000029838"
"S100a10","20194","ENSMUSG00000041959"
"Scd1","20249","ENSMUSG00000037071"
"Snta1","20648","ENSMUSG00000027488"
"Serpinb6a","20719","ENSMUSG00000060147"
"Scarb1","20778","ENSMUSG00000037936"
"Srebf2","20788","ENSMUSG00000022463"
"Suclg2","20917","ENSMUSG00000061838"
"Tlr4","21898","ENSMUSG00000039005"
"Vamp3","22319","ENSMUSG00000028955"
"Zfp46","22704","ENSMUSG00000051351"
"Tlr2","24088","ENSMUSG00000027995"
"Vat1","26949","ENSMUSG00000034993"
"Nrep","27528","ENSMUSG00000042834"
"Reep3","28193","ENSMUSG00000019873"
"Tor3a","30935","ENSMUSG00000060519"
"Acaa2","52538","ENSMUSG00000036880"
"Dhrs1","52585","ENSMUSG00000002332"
"Slc40a1","53945","ENSMUSG00000025993"
"Hebp2","56016","ENSMUSG00000019853"
"Rhog","56212","ENSMUSG00000073982"
"Fads2","56473","ENSMUSG00000024665"
"Nme4","56520","ENSMUSG00000024177"
"Cdc42ep4","56699","ENSMUSG00000041598"
"Litaf","56722","ENSMUSG00000022500"
"Prokr1","58182","ENSMUSG00000049409"
"Abhd8","64296","ENSMUSG00000007950"
"Gpr85","64450","ENSMUSG00000048216"
"Fbxo36","66153","ENSMUSG00000073633"
"Ogfod3","66179","ENSMUSG00000025169"
"Zcchc18","66995","ENSMUSG00000031428"
"Higd2a","67044","ENSMUSG00000025868"
"Ndufa13","67184","ENSMUSG00000036199"
"Cmtm6","67213","ENSMUSG00000032434"
"Mxra7","67622","ENSMUSG00000020814"
"Slc44a2","68682","ENSMUSG00000057193"
"Haghl","68977","ENSMUSG00000061046"
"Snx24","69226","ENSMUSG00000024535"
"Ogfrl1","70155","ENSMUSG00000026158"
"Zcchc24","71918","ENSMUSG00000055538"
"Arhgef10l","72754","ENSMUSG00000040964"
"Atat1","73242","ENSMUSG00000024426"
"Gga2","74105","ENSMUSG00000030872"
"Pcdh1","75599","ENSMUSG00000051375"
"Gstk1","76263","ENSMUSG00000029864"
"Pcdhb22","93893","ENSMUSG00000073591"
"Ldlrap1","100017","ENSMUSG00000037295"
"Gstt3","103140","ENSMUSG00000001665"
"Ypel1","106369","ENSMUSG00000022773"
"Vmac","106639","ENSMUSG00000054723"
"Sft2d2","108735","ENSMUSG00000040848"
"Cbr3","109857","ENSMUSG00000022947"
"Pip4k2c","117150","ENSMUSG00000025417"
"Mvd","192156","ENSMUSG00000006517"
"Vps37d","194309","ENSMUSG00000043614"
"Kctd12b","207474","ENSMUSG00000041633"
"Ints9","210925","ENSMUSG00000021975"
"Vstm2a","211739","ENSMUSG00000048834"
"Nek9","217718","ENSMUSG00000034290"
"Cerk","223753","ENSMUSG00000035891"
"Svil","225115","ENSMUSG00000024236"
"Man1b1","227619","ENSMUSG00000036646"
"Pdk1","228026","ENSMUSG00000006494"
"Mpv17l2","234384","ENSMUSG00000035559"
"Plcg2","234779","ENSMUSG00000034330"
"Raver2","242570","ENSMUSG00000035275"
"Rgma","244058","ENSMUSG00000070509"
"Dusp4","319520","ENSMUSG00000031530"
"Tmem104","320534","ENSMUSG00000045980"
"Samd5","320825","ENSMUSG00000060487"
"Fat4","329628","ENSMUSG00000046743"
"Parp1","11545","ENSMUSG00000026496"
"Nfkb1","18033","ENSMUSG00000028163"
"Myd88","17874","ENSMUSG00000032508"
"Cd4","12504","ENSMUSG00000023274"
"Fuca1","71665","ENSMUSG00000028673"
"Fam234a","106581","ENSMUSG00000024187"
"Erg28","58520","ENSMUSG00000021252"
"Mef2a","17258","ENSMUSG00000030557"
"Cldn1","12737","ENSMUSG00000022512"
"S1pr1","13609","ENSMUSG00000045092"
"Lpin1","14245","ENSMUSG00000020593"
"Inpp5d","16331","ENSMUSG00000026288"
"Ptprj","19271","ENSMUSG00000025314"
"Tspan14","52588","ENSMUSG00000037824"
"Sdcbp","53378","ENSMUSG00000028249"
"Pias3","229615","ENSMUSG00000028101"
"Zfp652","268469","ENSMUSG00000075595"
"Sgk3","170755","ENSMUSG00000025915"
"F13a1","74145","ENSMUSG00000039109"
"Rcbtb2","105670","ENSMUSG00000022106"
"Nr1h3","22259","ENSMUSG00000002108"
"Cyp7b1","13123","ENSMUSG00000039519"
"Gpr65","14744","ENSMUSG00000021886"
"Mr1","15064","ENSMUSG00000026471"
"Prkar1b","19085","ENSMUSG00000025855"
"Il6ra","16194","ENSMUSG00000027947"
"Mafb","16658","ENSMUSG00000074622"
"Osr1","23967","ENSMUSG00000048387"
"Isoc1","66307","ENSMUSG00000024601"
"Mfsd6","98682","ENSMUSG00000041439"
"Hbp1","73389","ENSMUSG00000002996"
"Abhd16a","193742","ENSMUSG00000007036"
"Spi1","20375","ENSMUSG00000002111"
