"logFC","logCPM","LR","PValue","FDR","sig","miRNA"
-7.94703659349802,3.53975965056352,222.059319415547,3.21516159904308e-50,1.99018502980767e-47,"down","mmu-miR-374c-3p"
4.10108625313716,4.36517788328755,115.761550581638,5.36022120683381e-27,1.65898846351506e-24,"up","mmu-miR-511-5p"
5.33947575937181,1.57132556403705,103.269535469745,2.92516962893241e-24,6.03560000103053e-22,"up","mmu-miR-5114"
4.95509507199288,7.00269724980718,91.5245608200605,1.10215679610653e-21,1.70558764197486e-19,"up","mmu-miR-511-3p"
-3.25965969978401,3.14454590065439,84.2474908278435,4.36557144628621e-20,5.40457745050233e-18,"down","mmu-miR-338-3p"
3.24326189775196,5.67047793768826,83.7170097920021,5.70918810963258e-20,5.88997906643761e-18,"up","mmu-miR-184-3p"
2.69943503554099,9.95505690493208,75.7972966277697,3.14331137306525e-18,2.77958534275341e-16,"up","mmu-miR-322-5p"
3.09108122380341,3.96085167776094,75.3542413865487,3.93402377687971e-18,3.04395089736068e-16,"up","mmu-miR-383-5p"
2.42610676808347,10.697227713472,64.8506213933487,8.07965961544748e-16,5.55701033551332e-14,"up","mmu-miR-503-5p"
3.28838353002652,5.21245972378831,64.0566558158679,1.20892185000129e-15,7.48322625150798e-14,"up","mmu-miR-10a-5p"
2.60370367838965,5.10554954939796,60.5244285460834,7.26710169019632e-15,4.08939631475593e-13,"up","mmu-miR-204-5p"
2.05653330584376,11.3671412323818,59.0256041379505,1.55633596540023e-14,8.02809968818951e-13,"up","mmu-miR-322-3p"
-2.78153796649245,3.14266878423395,57.4103708702611,3.53737146876337e-14,1.68433303012656e-12,"down","mmu-miR-124-3p"
2.63815400233491,4.93154824389962,55.8615245030681,7.77595725234148e-14,3.24010561679524e-12,"up","mmu-miR-223-5p"
-2.77397356015654,7.15960715100169,55.8424852096967,7.85162911985923e-14,3.24010561679524e-12,"down","mmu-miR-129-5p"
-2.64188909481004,1.90522739654895,51.196051850135,8.3586573482816e-13,3.23375556161644e-11,"down","mmu-miR-1247-3p"
2.63958753905579,10.0930937244266,50.7204994532235,1.06501370518835e-12,3.87790284418581e-11,"up","mmu-miR-146a-5p"
-2.2692817955444,4.28662659050903,49.0404287450824,2.50740758157392e-12,8.62269607219032e-11,"down","mmu-miR-1247-5p"
2.43825425323463,7.4998577150284,47.8688089751676,4.55714135963475e-12,1.48466868505995e-10,"up","mmu-miR-450b-5p"
2.90062067609989,9.78766937143063,47.6895913414432,4.9933572114516e-12,1.54544405694427e-10,"up","mmu-miR-142a-5p"
2.32415333730988,5.37116803446806,43.9260623718751,3.41017601505063e-11,1.00518997776969e-09,"up","mmu-miR-450a-1-3p"
-2.91526974310068,2.18518857625047,42.9699426513545,5.55873629559936e-11,1.56402625771637e-09,"down","mmu-miR-338-5p"
1.98762958440701,9.82790367623601,42.6290694783295,6.6168681592532e-11,1.78080060459901e-09,"up","mmu-miR-542-3p"
2.68014692188412,7.78452720029298,42.1978004354147,8.24927492254277e-11,2.12762549043916e-09,"up","mmu-miR-142a-3p"
2.5255641773186,2.5953899488633,41.9430659878396,9.39700223956774e-11,2.23720937934324e-09,"up","mmu-miR-873a-5p"
-2.05204494988741,3.04185852214514,41.9796729136912,9.22271754185733e-11,2.23720937934324e-09,"down","mmu-miR-92a-1-5p"
1.76586888241501,11.2773961498847,41.5244622753082,1.16405193423862e-10,2.66869684182853e-09,"up","mmu-miR-450a-5p"
2.73386482682562,9.02517770058661,38.5977093204488,5.20800109509697e-10,1.12985733264074e-08,"up","mmu-miR-223-3p"
-2.97361534641798,0.68920254863114,38.5659817085532,5.29335422400347e-10,1.12985733264074e-08,"down","mmu-miR-124-5p"
1.67816937755719,13.9088281411918,37.5429488950649,8.94220986549748e-10,1.84507596891431e-08,"up","mmu-miR-99a-5p"
2.14388842294309,5.53684202693239,37.3889046764459,9.67710928230307e-10,1.93230020830503e-08,"up","mmu-miR-203-3p"
-2.2644977624914,1.72348695091609,36.2737859287613,1.7145459597612e-09,3.31657484091306e-08,"down","mmu-miR-122-5p"
-3.93191426431745,-0.143296553323296,36.1019862095584,1.87255884106995e-09,3.51246643218878e-08,"down","mmu-miR-3105-3p"
-2.42448077783366,1.97879837598392,35.5420052829836,2.49609402127049e-09,4.54435940931303e-08,"down","mmu-miR-7649-3p"
-2.04589013411066,7.67946237402594,34.6428794674167,3.96084725238465e-09,7.00504128350315e-08,"down","mmu-miR-132-3p"
-2.01741330966485,3.42179631941872,33.8689599975092,5.89517709309084e-09,1.01364295017312e-07,"down","mmu-miR-6539"
-1.712360469303,10.9113047624289,33.6905085361716,6.46151929499078e-09,1.0809947144863e-07,"down","mmu-miR-125b-1-3p"
2.0213301121721,7.02850306169777,33.6363532871803,6.64393590561603e-09,1.08226219094114e-07,"up","mmu-miR-351-3p"
2.64528877738134,0.268222990894301,32.2710093844991,1.34099245383159e-08,2.12839571518399e-07,"up","mmu-miR-146a-3p"
1.97790111211041,7.22303188449635,32.0183160696344,1.52725785695979e-08,2.36343153364528e-07,"up","mmu-miR-503-3p"
3.23091034986197,-0.343963773734152,31.3195205383898,2.18867893128772e-08,3.30437136211487e-07,"up","mmu-miR-1199-5p"
1.80015567963349,4.42221490252978,30.7478433218831,2.93830231423419e-08,4.33049793454992e-07,"up","mmu-miR-33-5p"
-1.97011127532905,7.58570254496688,30.0208611710325,4.27423213726819e-08,6.15290626271862e-07,"down","mmu-miR-155-5p"
1.68517379921735,11.513289458813,29.7778868398964,4.84486744683208e-08,6.8158476127024e-07,"up","mmu-miR-10b-5p"
1.20832675392364,17.8693463669919,29.0981345282344,6.88032026160946e-08,9.46426275985835e-07,"up","mmu-miR-21a-5p"
1.90003228307351,1.31768902026613,27.8460385978037,1.31362752872257e-07,1.73007540484952e-06,"up","mmu-miR-466i-5p"
1.8071617682359,7.38064657753917,27.8569487824653,1.3062409473e-07,1.73007540484952e-06,"up","mmu-miR-708-3p"
1.68746624435813,8.81425039741274,27.7812776610994,1.35834275355162e-07,1.75169617593427e-06,"up","mmu-miR-335-3p"
-1.66941385689789,9.17083260057776,27.2514918684774,1.78637241541361e-07,2.25666229620617e-06,"down","mmu-miR-1983"
-1.74002338228979,2.96073793258419,26.8587620808669,2.18879734753714e-07,2.63801108943089e-06,"down","mmu-miR-344d-3p"
-1.80246667576046,7.33651417063061,26.8348046847751,2.21609978433613e-07,2.63801108943089e-06,"down","mmu-miR-129-2-3p"
-2.90979381751235,0.0204249279389564,26.8934218448654,2.14989379583656e-07,2.63801108943089e-06,"down","mmu-miR-155-3p"
1.68027677387441,7.84904090005318,25.5334718954762,4.34774497424241e-07,5.07783799821896e-06,"up","mmu-miR-708-5p"
-1.895223468226,2.02008800282466,24.5512024764715,7.2361171062056e-07,8.29473423840975e-06,"down","mmu-miR-449c-5p"
1.22358045823939,13.0720893680773,24.3631446021509,7.9780498938304e-07,8.97893251687458e-06,"up","mmu-let-7c-5p"
-1.74553793254329,1.60097954575274,23.8869789766546,1.02160431049789e-06,1.12923762178249e-05,"down","mmu-miR-215-5p"
-2.28949330609781,0.546257522195789,23.7124873611517,1.11854413460306e-06,1.21469968301631e-05,"down","mmu-miR-3061-3p"
-2.1620904556907,0.589685152011982,23.0845981509953,1.55027562211048e-06,1.65451829325239e-05,"down","mmu-miR-3089-3p"
2.3030409826715,0.0752865232553885,22.5360175636561,2.06240201944023e-06,2.16377432209069e-05,"up","mmu-miR-5116"
-2.69106613850055,-0.173303373922877,22.2759364322159,2.36147417601142e-06,2.43625419158511e-05,"down","mmu-miR-3075-5p"
1.5165951474532,4.74638112513837,21.7604027916912,3.08910301122381e-06,3.1346799408976e-05,"up","mmu-miR-193a-3p"
1.46928796114012,5.23691121690211,21.5270766945605,3.48867906219211e-06,3.4830521604789e-05,"up","mmu-miR-99a-3p"
1.22499774522741,11.1328277285059,21.2987006286717,3.92997794543743e-06,3.86135928289805e-05,"up","mmu-let-7b-5p"
1.53188114386372,8.82054345248438,21.1184888612863,4.31742393863653e-06,4.17575846565002e-05,"up","mmu-miR-362-5p"
1.8614306645216,0.861738677945164,21.0043274316277,4.58247164348222e-06,4.29780295047802e-05,"up","mmu-miR-5113"
-1.78732879858307,2.127238303727,21.0219641154025,4.54048256151739e-06,4.29780295047802e-05,"down","mmu-miR-298-3p"
1.85491003087651,7.13776350416078,20.6108365618512,5.6276665137607e-06,5.19929189853414e-05,"up","mmu-miR-195a-5p"
1.94234815259027,3.62682470031453,20.5115024888817,5.92739806753791e-06,5.3956755938323e-05,"up","mmu-miR-3473b"
-1.39116199511986,4.1803940105711,20.3461714296207,6.4622255997131e-06,5.79727195104697e-05,"down","mmu-miR-7688-5p"
1.42704860904132,5.36435365580065,19.8969439459792,8.17308708690237e-06,7.12555057294728e-05,"up","mmu-miR-376b-5p"
-1.33734474001382,2.96552278255901,19.9160738725008,8.09171336803077e-06,7.12555057294728e-05,"down","mmu-miR-98-3p"
-1.43192159108397,4.77868821337945,19.8507203207231,8.37311755806163e-06,7.19855523394465e-05,"down","mmu-miR-212-3p"
1.25749004718689,11.6270888469553,19.6605511571361,9.24911789396055e-06,7.84274517309805e-05,"up","mmu-miR-16-5p"
-1.69941328302596,2.58189003853116,19.5718572542812,9.68858990031106e-06,8.10437452471966e-05,"down","mmu-miR-3110-5p"
-1.72706322692351,2.08794018074493,19.5401753598055,9.85060334997804e-06,8.13003129818188e-05,"down","mmu-miR-1291"
-2.49789341338898,-0.277388525718381,19.4922539504205,1.01008459387779e-05,8.22687320539937e-05,"down","mmu-miR-6546-5p"
-1.53026550656371,7.49513152588259,19.3345748050019,1.0970184499476e-05,8.81888857815021e-05,"down","mmu-miR-27a-5p"
-2.2256858710916,1.26477133643603,19.2243831324202,1.16219428432336e-05,9.22305464097639e-05,"down","mmu-miR-677-3p"
-1.41652048705554,5.57750740877782,18.9741746416519,1.32499753319815e-05,0.000103819426968311,"down","mmu-miR-483-3p"
1.31959545641167,9.71490685564811,18.4487924851816,1.74531387024271e-05,0.000135043660710029,"up","mmu-miR-210-3p"
-1.43174654665337,1.80848248507362,18.2995412191176,1.88752620227562e-05,0.00014424428632205,"down","mmu-miR-23a-5p"
1.31324119429872,4.15107024282668,18.2671145966493,1.91993144405667e-05,0.00014493141022818,"up","mmu-miR-181a-2-3p"
-2.0730525064505,0.432732924086577,18.2322700489276,1.95537627686132e-05,0.000145828664503272,"down","mmu-miR-5128"
1.37986465255657,3.94020641025957,18.0439696270683,2.15861295415995e-05,0.000159069216502977,"up","mmu-miR-130b-3p"
1.42848336798754,8.92816781410193,17.9165928939957,2.30800095181977e-05,0.000168076775197228,"up","mmu-miR-376b-3p"
-1.93995887724112,0.655379307015086,17.7821905948682,2.47690907068825e-05,0.000178279850553026,"down","mmu-miR-7018-3p"
1.40857516439586,4.23480500724277,17.7274295487947,2.54924115646236e-05,0.000181377043201173,"up","mmu-miR-188-5p"
1.30257736608968,9.70830280471915,17.2689471062804,3.24445973947027e-05,0.000228218247583193,"up","mmu-miR-335-5p"
1.90232422240934,0.327356854171155,17.2454018520377,3.2849158012867e-05,0.000228467739437805,"up","mmu-miR-7219-3p"
1.42229274179402,7.5524220348093,17.1961613640945,3.37116858582129e-05,0.000231861483847042,"up","mmu-miR-450b-3p"
-1.27403501741957,3.91376546576629,17.0437281564347,3.65288241813132e-05,0.000248476287562998,"down","mmu-miR-744-3p"
-1.64587364829076,1.07151960176379,17.0219185927224,3.69507980403177e-05,0.000248614608553877,"down","mmu-miR-1945"
-1.56427521653415,1.08012584974076,16.9685971575201,3.80032182260761e-05,0.000252946151418722,"down","mmu-miR-6540-5p"
1.20865865379556,10.3762565193824,16.9244459662864,3.88974122390232e-05,0.000256143597616546,"up","mmu-miR-340-5p"
-1.46549114561234,1.65914271717816,16.7075665934898,4.36067283770247e-05,0.000281172550681024,"down","mmu-miR-200a-3p"
-2.05254618260798,0.579369990586158,16.7230687629159,4.32518648694507e-05,0.000281172550681024,"down","mmu-miR-129-1-3p"
1.39309932479189,7.79967353931282,16.3982151875122,5.13335434856861e-05,0.000327582097089069,"up","mmu-miR-193b-3p"
-1.27378695938599,5.26358989599106,16.0638480821483,6.12421031342974e-05,0.000386825120817654,"down","mmu-miR-132-5p"
1.18136584286841,2.72944269693326,15.786138665414,7.09201882898662e-05,0.000438995965514272,"up","mmu-miR-193b-5p"
-1.337215205008,7.27936401317238,15.7447007811378,7.24907185989451e-05,0.000444274800126208,"down","mmu-miR-18a-5p"
-1.25715509159766,5.38446978960904,15.57922296224,7.91192324345084e-05,0.000480145145852556,"down","mmu-miR-212-5p"
-1.34431313633929,7.08582772746949,15.5499696228515,8.03529389562469e-05,0.000482897759358416,"down","mmu-miR-181c-5p"
1.25823217753264,8.78556368656291,15.3116810396232,9.11511284180157e-05,0.000542524504718766,"up","mmu-miR-146b-5p"
1.29056612232574,2.37438013671532,15.196833412538,9.68657167618269e-05,0.000571046463576865,"up","mmu-miR-210-5p"
1.3900454583125,9.23343129482347,15.1708783935453,9.82063545369838e-05,0.000573488051494274,"up","mmu-miR-21a-3p"
1.26849703225049,4.48265359815632,14.9852017379704,0.000108357588144536,0.000626853710854839,"up","mmu-miR-130b-5p"
-1.26472163401025,10.0738694166934,14.8769761439806,0.000114755088684766,0.000657716665702499,"down","mmu-miR-744-5p"
-1.21857061345995,3.76222056215198,14.4510780049603,0.000143847500707981,0.000816895439800371,"down","mmu-miR-25-5p"
-1.32123085787828,3.95746390584554,14.4294416320791,0.000145509561417001,0.000818821986519305,"down","mmu-miR-135a-5p"
1.1960675302078,2.22151560550888,14.2803638168302,0.000157499347741142,0.000878307173439341,"up","mmu-miR-1843a-3p"
1.76603839071767,-0.0454474469563564,13.9602686418688,0.000186714980632538,0.00103193368760304,"up","mmu-miR-3073a-3p"
-1.36649620553287,3.04210715148422,13.462392081069,0.000243393242205684,0.00133327802588777,"down","mmu-miR-770-5p"
1.02839494400062,11.155489911493,13.3511139886341,0.00025826916138977,0.00140235623596726,"up","mmu-let-7e-5p"
1.14744969131008,8.62176114043603,13.1729969742594,0.000284012146141443,0.00152872624749177,"up","mmu-miR-125b-2-3p"
1.09618305928133,3.82516956584825,13.128797159184,0.000290791403952446,0.001551723095229,"up","mmu-miR-342-5p"
1.27138783031237,4.86745484871517,13.0769828587862,0.000298946591521121,0.00158160632608183,"up","mmu-miR-10b-3p"
-1.03305494421866,10.0912409526983,13.0286305941756,0.000306764783806145,0.00160921526420342,"down","mmu-miR-17-5p"
-1.14722020460019,4.59481548545055,12.8415943791201,0.00033899863735348,0.00176336265984709,"down","mmu-miR-126a-5p"
-1.24874261275861,6.36383384556465,12.6110498266791,0.000383473068261335,0.00197808191044805,"down","mmu-miR-5099"
1.16158714723681,7.75352386643789,12.5040201445774,0.000406077265517169,0.00207737047400932,"up","mmu-miR-136-5p"
-1.15950157033279,5.46536533186946,12.2165637764771,0.0004736709155652,0.0023837585100395,"down","mmu-miR-126a-3p"
-1.30531309352665,7.40999639932758,12.2281582775645,0.000470736420912422,0.0023837585100395,"down","mmu-miR-3102-3p"
-1.19164760941033,5.59635042046637,12.1119641569608,0.000500993358685832,0.0025009265244075,"down","mmu-miR-301a-5p"
1.07241125638447,2.67748690302984,11.8742301339718,0.000569159919871249,0.00279611103492304,"up","mmu-miR-33-3p"
1.02256473123648,2.61161399570766,11.8412516615096,0.000579328721101769,0.00282365730993697,"up","mmu-miR-486a-3p"
-1.00726346292687,10.3381836648279,11.711542492294,0.000621136112570837,0.00300377541938553,"down","mmu-miR-222-3p"
1.06681598525093,8.56753917969981,11.3943596894653,0.000736674366620157,0.00353489482897579,"up","mmu-miR-15a-5p"
1.16612982852462,7.90225262070071,11.1414665460596,0.000844191232751429,0.00397716138595284,"up","mmu-miR-362-3p"
1.03761392288361,4.08546382106257,11.1328573505875,0.000848118421560217,0.00397716138595284,"up","mmu-miR-675-3p"
-1.52228238496037,0.434583201658739,11.090259590288,0.000867823354656159,0.00403896734234709,"down","mmu-miR-3057-3p"
-1.10668914722906,7.95498192506103,10.9118777233005,0.000955496240949854,0.00441382218767134,"down","mmu-miR-17-3p"
1.60271587983856,0.10107789235177,10.8324445124341,0.000997368748840612,0.00453949452597308,"up","mmu-miR-5126"
-1.02272008427266,4.60913016426134,10.8051156773699,0.00101220000311149,0.00457337081697821,"down","mmu-miR-23b-5p"
-1.15685121734655,5.86994526292562,10.6420085148096,0.00110547550017567,0.00495861836672999,"down","mmu-miR-431-3p"
-1.09471886890896,5.78379175812641,10.4835157566511,0.00120444338527753,0.00536367234163158,"down","mmu-let-7e-3p"
-1.06143542279608,4.30287060433999,10.3557417466009,0.00129072592205568,0.00566637833866997,"down","mmu-let-7a-2-3p"
1.09669208475142,1.82488181536118,10.297390749334,0.00133218444557025,0.00580719839301396,"up","mmu-miR-500-5p"
