"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"41","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Sema4f","20355","ENSMUSG00000000627","Sequencing","","19536157","validated",NA,NA,NA
"42","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Skil","20482","ENSMUSG00000027660","Sequencing","","19536157","validated",NA,NA,NA
"43","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Slc20a1","20515","ENSMUSG00000027397","Sequencing","","19536157","validated",NA,NA,NA
"44","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Dlc1","50768","ENSMUSG00000031523","Sequencing","","19536157","validated",NA,NA,NA
"45","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Pgrmc1","53328","ENSMUSG00000006373","Sequencing","","19536157","validated",NA,NA,NA
"46","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Fam135a","68187","ENSMUSG00000026153","Sequencing","","19536157","validated",NA,NA,NA
"47","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Nol8","70930","ENSMUSG00000021392","Sequencing","","19536157","validated",NA,NA,NA
"48","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Fam118a","73225","ENSMUSG00000022434","Sequencing","","19536157","validated",NA,NA,NA
"49","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Arl5a","75423","ENSMUSG00000036093","Sequencing","","19536157","validated",NA,NA,NA
"50","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Flna","192176","ENSMUSG00000031328","Sequencing","","19536157","validated",NA,NA,NA
"51","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Ankrd52","237615","ENSMUSG00000014498","Sequencing","","19536157","validated",NA,NA,NA
"52","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Ercc6","319955","ENSMUSG00000054051","Sequencing","","19536157","validated",NA,NA,NA
"53","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Agap1","347722","ENSMUSG00000055013","Sequencing","","19536157","validated",NA,NA,NA
"54","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Cnih1","12793","ENSMUSG00000015759","Sequencing","","19536157","validated",NA,NA,NA
"55","mirtarbase","MIMAT0000158","mmu-miR-146a-5p","Hes1","15205","ENSMUSG00000022528","qRT-PCR//Western blot","Functional MTI","26800097","validated",NA,NA,NA
"56","mirtarbase","MIMAT0000158","mmu-miR-146a-5p","Tgif1","21815","ENSMUSG00000047407","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","Functional MTI","28383548","validated",NA,NA,NA
"57","mirtarbase","MIMAT0000158","mmu-miR-146a-5p","Mllt3","70122","ENSMUSG00000028496","HITS-CLIP","","25083871","validated",NA,NA,NA
"58","mirtarbase","MIMAT0000158","mmu-miR-146a-5p","Ank2","109676","ENSMUSG00000032826","ELISA////Luciferase reporter assay//Microarray//qRT-PCR//Western blotting","","31507414","validated",NA,NA,NA
"59","mirtarbase","MIMAT0000158","mmu-miR-146a-5p","EGR1","1958","ENSG00000120738","Flow//Luciferase reporter assay//Next Generation Sequencing (NGS)//qRT-PCR//Western blot","Functional MTI","25906746","validated",NA,NA,NA
"60","mirtarbase","MIMAT0000658","mmu-miR-210-3p","Ncam1","17967","ENSMUSG00000039542","HITS-CLIP","","21258322","validated",NA,NA,NA
"61","mirtarbase","MIMAT0000658","mmu-miR-210-3p","Acot2","171210","ENSMUSG00000021226","HITS-CLIP","","21258322","validated",NA,NA,NA
"62","mirtarbase","MIMAT0000658","mmu-miR-210-3p","Slco2a1","24059","ENSMUSG00000032548","HITS-CLIP","","21258322","validated",NA,NA,NA
"63","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Cdkn1a","12575","ENSMUSG00000023067","Immunoblot//qRT-PCR","","21088000","validated",NA,NA,NA
"64","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Gls","14660","ENSMUSG00000026103","HITS-CLIP","","21258322","validated",NA,NA,NA
"65","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Ajuba","16475","ENSMUSG00000022178","HITS-CLIP","","21258322","validated",NA,NA,NA
"66","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Zmat3","22401","ENSMUSG00000027663","HITS-CLIP","","21258322","validated",NA,NA,NA
"67","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Fam118a","73225","ENSMUSG00000022434","HITS-CLIP","","21258322","validated",NA,NA,NA
"68","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Ercc6","319955","ENSMUSG00000054051","HITS-CLIP","","21258322","validated",NA,NA,NA
"69","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Senp5","320213","ENSMUSG00000022772","HITS-CLIP","","21258322","validated",NA,NA,NA
"70","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Il1rl1","17082","ENSMUSG00000026069","HITS-CLIP","","23597149","validated",NA,NA,NA
"71","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Lats1","16798","ENSMUSG00000040021","HITS-CLIP","","25083871","validated",NA,NA,NA
"72","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Tnfrsf10b","21933","ENSMUSG00000022074","HITS-CLIP","","25083871","validated",NA,NA,NA
"73","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Cdk8","264064","ENSMUSG00000029635","HITS-CLIP","","25083871","validated",NA,NA,NA
"74","mirtarbase","MIMAT0000208","mmu-miR-10b-5p","Rnd1","223881","ENSMUSG00000054855","HITS-CLIP","","21258322","validated",NA,NA,NA
