"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"39","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Hfe","15216","ENSMUSG00000006611","Reporter assay;qRT-PCR","","21364282","validated",NA,NA,NA
"40","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Hfe","15216","ENSMUSG00000006611","Reporter assay;qRT-PCR","Functional MTI","21364282","validated",NA,NA,NA
"41","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Hmbs","15288","ENSMUSG00000032126","qRT-PCR;Microarray","","21364282","validated",NA,NA,NA
"42","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Hmbs","15288","ENSMUSG00000032126","qRT-PCR;Microarray","Non-Functional MTI (Weak)","21364282","validated",NA,NA,NA
"43","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ppox","19044","ENSMUSG00000062729","Microarray","","21364282","validated",NA,NA,NA
"44","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ppox","19044","ENSMUSG00000062729","Microarray","Non-Functional MTI (Weak)","21364282","validated",NA,NA,NA
"45","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Tgfbr1","21812","ENSMUSG00000007613","Luciferase reporter assay//Reporter assay;qRT-PCR;Other","","19487572","validated",NA,NA,NA
"46","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Tgfbr1","21812","ENSMUSG00000007613","Luciferase reporter assay//Reporter assay;qRT-PCR;Other","Functional MTI","19487572","validated",NA,NA,NA
"47","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Urod","22275","ENSMUSG00000028684","Microarray","","21364282","validated",NA,NA,NA
"48","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Urod","22275","ENSMUSG00000028684","Microarray","Functional MTI (Weak)","21364282","validated",NA,NA,NA
"49","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ndrg3","29812","ENSMUSG00000027634","Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Other","","18158304","validated",NA,NA,NA
"50","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ndrg3","29812","ENSMUSG00000027634","Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Other","","16258535","validated",NA,NA,NA
"51","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ndrg3","29812","ENSMUSG00000027634","Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Other","Functional MTI","18158304","validated",NA,NA,NA
"52","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ndrg3","29812","ENSMUSG00000027634","Luciferase reporter assay","Functional MTI","16258535","validated",NA,NA,NA
"53","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Gde1","56209","ENSMUSG00000033917","Luciferase reporter assay//Other//Reporter assay","","19487572","validated",NA,NA,NA
"54","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Gde1","56209","ENSMUSG00000033917","Luciferase reporter assay//Reporter assay","Functional MTI","19487572","validated",NA,NA,NA
"55","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Socs2","216233","ENSMUSG00000020027","Reporter assay","","19487572","validated",NA,NA,NA
"56","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Socs2","216233","ENSMUSG00000020027","Reporter assay","Non-Functional MTI","19487572","validated",NA,NA,NA
"57","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Zfp949","71640","ENSMUSG00000032425","HITS-CLIP","","21258322","validated",NA,NA,NA
"58","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Zfp949","71640","ENSMUSG00000032425","CLIP-Seq dataset analysis","","21258322","validated",NA,NA,NA
"59","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Zfp949","71640","ENSMUSG00000032425","HITS-CLIP","Functional MTI (Weak)","21258322","validated",NA,NA,NA
"60","mirtarbase","MIMAT0000246","mmu-miR-122-5p","B2m","12010","ENSMUSG00000060802","Luciferase reporter assay","","22820290","validated",NA,NA,NA
"61","mirtarbase","MIMAT0000246","mmu-miR-122-5p","B2m","12010","ENSMUSG00000060802","Luciferase reporter assay","Non-Functional MTI","22820290","validated",NA,NA,NA
"62","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ccl2","20296","ENSMUSG00000035385","Luciferase reporter assay","","22820290","validated",NA,NA,NA
"63","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Ccl2","20296","ENSMUSG00000035385","Luciferase reporter assay","Non-Functional MTI","22820290","validated",NA,NA,NA
"64","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Dbp","13170","ENSMUSG00000059824","Luciferase reporter assay","","22820290","validated",NA,NA,NA
"65","mirtarbase","MIMAT0000246","mmu-miR-122-5p","Dbp","13170","ENSMUSG00000059824","Luciferase reporter assay","Non-Functional MTI","22820290","validated",NA,NA,NA
"66","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Other","","18042700","validated",NA,NA,NA
"67","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ctdsp1","227292","ENSMUSG00000026176","GFP reporter assay//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Other","","17403776","validated",NA,NA,NA
