"ens_gene","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2"
"ENSMUSG00000021390","Ogn",0,0,1.82624053967055,0.0401678602175285,8.94652577860752,1.1121778071955,0.000191970922470695,0.000497485502682019,0.00142148607198422,0.00142148607198422,3163.1919643068,3002.34679633409,19084.9233934864,19198.4707024532
"ENSMUSG00000038418","Egr1",0,0,-1.59011609933341,0.0408704925041018,8.65384283327545,0.843863407043042,0.000258951082334705,0.00130155480257465,0.00141144607519314,0.00141144607519314,13018.8894148175,12376.6430371709,2510.51300302657,2667.61638766801
"ENSMUSG00000019929","Dcn",0,0,2.78500060214171,0.0703582242789633,10.0269743752519,2.58870963779236,8.53714068053622e-05,0.00486490831688354,0.00171981717556854,0.00486490831688354,5912.09132847192,5345.52551281089,86711.3832663876,95664.0554509366
"ENSMUSG00000036446","Lum",0,0,2.69478043893834,0.0451666187619031,10.024661732918,2.42197388699515,8.3571728721005e-05,0.00195645172166209,0.00171866124202737,0.00195645172166209,5966.77483288766,5769.90415724058,83292.1559125409,90579.4572200853
"ENSMUSG00000019936","Epyc",0,0,3.97213164796111,0.0930987034833077,6.72567893594524,5.25982200782824,0.0062795654831054,-0.00546146810786132,0.00238780310716745,0.00238780310716745,111.598985353532,116.227708553016,6197.38776073146,5951.75662068114
"ENSMUSG00000027397","Slc20a1",0,0,-2.09868480642526,0.0451708503342931,8.96668307214755,1.46833837467842,0.000617214163349152,-0.00034861050583199,0.00142319155657396,0.00142319155657396,22065.9129652683,22702.1967181896,2721.66021543113,2766.4483050387
"ENSMUSG00000027447","Cst3",0,0,2.05884052036541,0.0404454586191337,9.6749391341452,1.41319732670945,6.35973315351911e-05,0.000320248583384832,0.00157223779137687,0.00157223779137687,5672.06545758221,5696.19232699979,43689.8562816524,45425.327592663
"ENSMUSG00000067276","Capn6",0,0,2.86596452952343,0.0489708698877527,7.92284671848274,2.73843452728388,0.000888297668171827,-0.000112848985569795,0.00150984842939138,0.00150984842939138,676.183366882881,640.177009284738,11626.9395193369,11504.4758907662
"ENSMUSG00000036596","Cpz",0,0,2.57052077868689,0.06849720764054,6.37546041999687,2.2049144165155,0.00178313826091595,0.00179994968181592,0.0029087291936353,0.0029087291936353,152.576917411462,171.838322838155,2104.92164556362,2140.80468030795
"ENSMUSG00000026051","1500015O10Rik",0,0,4.08977785912422,0.053365236647816,8.05967914264877,5.57614566342677,0.00137210716254133,-0.000295080513736692,0.00147574131993607,0.00147574131993607,396.742643654174,421.511742342471,24144.310679862,24767.5894305235
"ENSMUSG00000029838","Ptn",0,0,2.72661147160353,0.0414612057004132,9.21764077874498,2.47919507042893,0.000263345232656375,0.0013242018707704,0.0014556863454756,0.0014556863454756,2680.77550271171,2476.0511148094,39504.2848941891,39249.8621130807
"ENSMUSG00000045573","Penk",0,0,4.34148700195419,0.113965959776461,6.1782854083062,6.28376954379975,0.00964768774372651,-0.00824806611270142,0.00334055224404338,0.00334055224404338,56.2731191658502,52.8045053143631,4141.26934511191,4311.59638467787
"ENSMUSG00000027848","Olfml3",0,0,1.71986520267308,0.0457281314039628,7.55301350235343,0.986129435790542,0.000432566450905908,-0.000206570447948794,0.00165849555079218,0.00165849555079218,803.084956727397,809.536160384171,4570.27428677752,4439.69826924282
"ENSMUSG00000037411","Serpine1",0,0,-3.0906330133186,0.0448721016874437,10.3788919332481,3.18524215239251,8.50087129111328e-05,0.00177200836844377,0.00192849679693715,0.00192849679693715,152455.129889111,149310.700180385,7153.23356540766,6579.31018603653
"ENSMUSG00000060572","Mfap2",0,0,2.61331389950877,0.0615662157898926,7.24424726156926,2.27899677840636,0.00158483532621057,0.00220556360047705,0.00186021386904004,0.00220556360047705,383.446521565761,373.657692966014,5491.79240564992,4868.80947805744
"ENSMUSG00000035258","Abi3bp",0,0,3.56231185120937,0.0457397204868312,8.48138709244079,4.23117002852239,0.000673821506272958,0.00104835864395152,0.00141830052394049,0.00141830052394049,838.706534817682,786.324708382069,27899.8811888554,29397.7493516567
"ENSMUSG00000023886","Smoc2",0,0,2.20521835299818,0.0429149985108302,8.30011201110333,1.62118571381485,0.000405934918984052,-0.000121356396705171,0.00143576217820051,0.00143576217820051,1348.53410897232,1322.77040195631,12289.7803113081,11954.1830165649
"ENSMUSG00000021388","Aspn",0,0,1.59215022024054,0.0396079189567784,8.97377904119145,0.845678135166954,0.000144963796854071,0.000901077047579047,0.00142382344723266,0.00142382344723266,3656.67278588792,3466.21312260247,17818.9417253809,17182.2788336122
"ENSMUSG00000037664","Cdkn1c",0,0,4.16611995339586,0.0973710434726563,6.37611380871854,5.79036060110591,0.00657360812112655,0.000689560496153852,0.00290751198582737,0.00290751198582737,75.3781534491517,70.0963790129957,4367.06673300966,5096.39214428224
"ENSMUSG00000047281","Sfn",0,0,-2.76073099147203,0.0644552836342355,6.87907861817033,2.54199244845827,0.00195691604224114,0.000213953008098776,0.00219756754612861,0.00219756754612861,3885.34175164778,3841.67280959498,232.832499497388,255.444793819753
"ENSMUSG00000021950","Anxa8",0,0,-3.02376010577278,0.0764047653628314,6.5619857691634,3.04875343279498,0.00323096401844419,-0.00166340345747298,0.00260672415170513,0.00260672415170513,3242.09385953904,3176.21455111499,161.62130312235,149.684808561761
"ENSMUSG00000037206","Islr",0,0,2.28252752246573,0.0417057084844885,8.53814612067428,1.73723954608969,0.000324365852841641,0.000569007874920058,0.00141500026735149,0.00141500026735149,1669.38875627491,1592.30585506362,15694.6476067819,16279.8296786281
"ENSMUSG00000061232","H2-K1",0,0,2.18250412457178,0.0407999407115291,8.03458810108627,1.58779112100196,0.000183377133365117,-0.000158822516843903,0.00148125802869917,0.00148125802869917,1033.4387830074,1038.00891558525,9230.08497200455,9148.52526342049
"ENSMUSG00000074896","Ifit3",0,0,3.77983166334294,0.0955431351552918,6.50338625609594,4.76846146152016,0.00358375133556337,0.00554473933973899,0.00269328038550107,0.00554473933973899,103.002417241185,97.7333608733869,4842.08623844954,4029.00964657367
"ENSMUSG00000005413","Hmox1",0,0,-1.53569233783591,0.0393161796457086,8.93177417407479,0.786433251923753,0.000125440307237975,0.000348959334429731,0.00142032167469566,0.00142032167469566,16628.3031489489,15999.581353203,3547.28164222664,3475.98919903046
"ENSMUSG00000032925","Itgbl1",0,0,2.95635642288526,0.0451129473758529,8.24075849140919,2.91352996350623,0.00059137932803471,-0.000318083636166796,0.00144379869290176,0.00144379869290176,868.032701913932,860.72459290259,16365.381376686,16896.9729948367
"ENSMUSG00000022309","Angpt1",1.24081573265566e-302,7.26612501815505e-300,3.49638809291296,0.0940295324411367,6.33031978256689,4.07724564806163,0.00584520080933143,-0.00234157684864874,0.00299635216176736,0.00299635216176736,93.8110684502482,100.756096305547,3380.26642288325,3074.83753883033
"ENSMUSG00000020140","Lgr5",2.06346556801076e-299,1.16519478913636e-296,3.5078465613373,0.0948474419568477,6.43472648177359,4.10339324558077,0.00619243880298056,-0.00359631937479834,0.00280359844277704,0.00280359844277704,112.734256476148,102.234466380949,3654.21908774132,3545.32102371011
"ENSMUSG00000042834","Nrep",2.77937259764889e-299,1.51533310832506e-296,3.70287161128433,0.10014244848884,6.76006247404995,4.57710506321137,0.00302395034671024,0.00700455964262979,0.00234403023639135,0.00700455964262979,127.472330835073,142.871514046213,5966.29660741529,5059.04116178892
"ENSMUSG00000031239","Itm2a",3.80464741069019e-298,2.00517600701409e-295,1.45883854114177,0.0395292807170353,8.96329358128614,0.709659154091225,0.000139668513110146,0.000244118063399779,0.00142289552089603,0.00142289552089603,3840.39061468203,3692.84958477669,16191.2978704535,16205.9666095647
"ENSMUSG00000073411","H2-D1",4.35931252321356e-297,2.22339000982353e-294,1.59386845457235,0.043265586128983,7.54256099404152,0.847247628948223,0.000207824954526994,0.000455293227388245,0.00166408598855745,0.00166408598855745,871.980857058093,828.245258328142,4191.26705556861,4179.69337747983
"ENSMUSG00000041731","Pgm5",2.26081579825927e-291,1.11705495582117e-288,3.37923109011809,0.0926311770938368,5.94240569231227,3.81212127678676,0.00332817891776228,0.00525235605202749,0.00399208896458654,0.00525235605202749,71.6134976105455,68.0346228700336,1886.899242125,2254.91072874169
"ENSMUSG00000022836","Mylk",2.00889769402805e-288,9.62505498190229e-286,2.1834408020602,0.0601597596228818,7.49021710240844,1.59155070981901,0.000636005983238066,0.00298319069464485,0.0016933892689183,0.00298319069464485,630.459834420792,571.850288308084,5525.36312116482,5149.13064499338
"ENSMUSG00000028195","Cyr61",9.48382163745486e-267,4.41025599734702e-264,-1.50099058657996,0.0430169186244756,10.1747096918167,0.751076470077162,5.12010772446172e-05,7.71335376829287e-05,0.00179925421070014,0.00179925421070014,55570.3544745861,55547.1132036048,12244.6821244685,12525.2393531619
"ENSMUSG00000038530","Rgs4",1.07710140298888e-262,4.86572865218776e-260,-1.66082474269379,0.0479665968829849,7.94454353102213,0.920980138258989,0.000480537394199954,0.00182025702233483,0.00150376742372795,0.00182025702233483,6415.90383378435,6523.86373460148,1172.00253897795,1288.1708967124
"ENSMUSG00000027996","Sfrp2",1.19172446833606e-261,5.23398765801707e-259,4.06383442365668,0.117604214320753,7.94219836066942,5.51413724178302,0.000556007158024944,0.0132747440679768,0.00150441210313616,0.0132747440679768,411.632013488775,329.541557571714,22309.535515391,20648.8529893954
"ENSMUSG00000022371","Col14a1",1.2350411748498e-254,5.27763135555411e-252,3.61804206917992,0.106147962578396,7.82343865805948,4.37092106475826,0.00242707083219713,0.00884031912734741,0.00154116423591938,0.00884031912734741,451.962246911159,369.732401092633,15791.2711829941,14729.9949908075
"ENSMUSG00000040010","Slc7a5",2.70045191445245e-252,1.12360118998441e-249,-1.77098082168212,0.0522003592946178,6.75230772260352,1.04569569602747,0.000370999727324015,-1.39910690525277e-05,0.00235387778316317,0.00235387778316317,2112.72742526952,2037.29704532938,350.802260095515,354.453796660847
"ENSMUSG00000045392","Olfr1033",2.86954371017858e-249,1.16334245132394e-246,-2.06566673983621,0.061258016598225,11.0847339249413,1.42249020744264,0.00115804663420931,-0.000912275503018388,0.00259449796333911,0.00259449796333911,182460.866703354,183659.380300117,23557.7665154342,22846.3619075907
"ENSMUSG00000038539","Atf5",7.5787841604204e-246,2.99570390901017e-243,-1.3179532443184,0.0393577514408085,9.05099775437301,0.579360873635286,0.000117265682638327,0.000423667665586087,0.00143176691583813,0.00143176691583813,16422.5248729738,16539.0401882652,4310.96632513965,4513.81584282139
"ENSMUSG00000024338","Psmb8",2.84074756926009e-231,1.0954892638432e-228,2.52693189745439,0.0778239134345708,7.18855837329243,2.13249931245899,0.00345393666681432,0.00260262483545725,0.00190342228131294,0.00260262483545725,346.6067250525,403.151770266746,4595.71921406819,4774.07053951016
"ENSMUSG00000038244","Mical2",2.45572708031936e-229,9.24464306355462e-227,-1.31900123348509,0.0407950807344667,8.18260982005898,0.580090721405472,0.000211438586031797,4.25165545817921e-05,0.00145280002609986,0.00145280002609986,7030.13762689125,6809.7778055184,1851.03529351301,1848.58822335835
"ENSMUSG00000002732","Fkbp7",2.78897366821153e-228,1.0254991318161e-225,1.5532521845279,0.0481521192817478,7.49825798772654,0.804758611511637,0.000629882990496057,0.000211859906608889,0.00168874360082762,0.00168874360082762,831.688779452778,827.658430661766,3811.74296690298,4038.67264788478
"ENSMUSG00000046743","Fat4",1.83550109427751e-227,6.59570631855041e-225,1.33761295817069,0.0415423450721019,8.0551520684026,0.597353865624998,0.000249053416414199,0.00117753208801609,0.00147671301767539,0.00147671301767539,1667.52287636734,1560.83558932401,6261.43354892902,6036.56233926605
"ENSMUSG00000025964","Adam23",6.78215773576161e-227,2.38294879911393e-224,1.45267560063765,0.0451727815246452,8.96770979796486,0.703516877767176,0.0006172982214131,-0.000475181914629828,0.00142328196926023,0.00142328196926023,3820.86643887358,3767.80527856467,16377.6522996327,16064.3935888967
"ENSMUSG00000035929","H2-Q4",5.87773590074204e-225,2.02028005057896e-222,2.12361752230475,0.0663230733164275,7.00175812482174,1.50618296038268,0.00166944626726608,0.00272930378687013,0.00206771901593183,0.00272930378687013,375.363937348575,383.511122953482,3390.9658793906,2974.84789975751
"ENSMUSG00000029752","Asns",1.46805662770201e-221,4.93860496608436e-219,-1.70435008674761,0.0536393252299083,6.76415990068457,0.968343675466474,0.000538346190348515,-0.000427442088925967,0.00233883102077136,0.00233883102077136,2027.86800434751,2033.3444081031,365.100205811003,372.817517954307
"ENSMUSG00000041324","Inhba",1.85248978366141e-221,6.10202416030635e-219,-1.38241281619902,0.0435173285138746,9.2156285057607,0.637787497765358,0.000438416670346053,0.000710232782039928,0.00145534121063843,0.00145534121063843,19768.7826377516,20368.8214537591,5191.31271883754,4884.89787118888
"ENSMUSG00000021453","Gadd45g",1.54058024472724e-219,4.97104372436374e-217,-1.33193534792606,0.0421130445456451,8.19942158605411,0.591884828614615,0.000323426423987612,0.000477930970472791,0.00145008209691588,0.00145008209691588,6884.39803289505,7285.37571246272,1870.00567944805,1868.09807107056
"ENSMUSG00000031626","Sorbs2",6.59367175847458e-213,2.08505088346483e-210,2.67478508919825,0.0858911038154824,7.16796533732211,2.38612221471943,0.00545730821298162,-0.00351162283248831,0.00191997350166035,0.00191997350166035,329.315758304446,351.14122022205,4793.11139312918,5092.77546918054
"ENSMUSG00000029718","Pcolce",1.88126040554728e-210,5.83227613178589e-208,1.20596275836216,0.0389526670982305,9.32084659773515,0.485048677125171,4.20310814185774e-05,0.000357897328100158,0.00147527919264699,0.00147527919264699,6166.53936423457,6055.20619408203,20777.1096071281,20050.3079591906
"ENSMUSG00000016995","Matn4",4.41384666155453e-209,1.34206403011228e-206,4.61680117390345,0.149615778551492,7.08265027715945,7.11987428057982,0.00386375240336752,0.0185211287882014,0.00199237609599971,0.0185211287882014,134.504323504158,103.375449089732,11145.9691277483,12876.8298919504
"ENSMUSG00000022440","C1qtnf6",7.67378763217377e-208,2.28925011796791e-205,1.22853753106194,0.0399327896928265,8.56474958346879,0.503174847132467,0.00018082118437713,-7.07830995650281e-05,0.00141380650827438,0.00141380650827438,2845.15177653705,2827.75224931765,9594.39721435264,9788.84670091387
"ENSMUSG00000027313","Chac1",9.08015620206587e-206,2.65863610575673e-203,-1.86751844699956,0.0610105836904931,6.74869380199665,1.16412271145128,0.00136382031835979,0.0010076719167358,0.00235847100389487,0.00235847100389487,2169.38095791199,2169.49135806531,318.833693005432,351.500480751974
"ENSMUSG00000026456","Cyb5r1",1.33657773746257e-205,3.84229647400376e-203,-1.51712669684628,0.0495839603377848,7.58959496364396,0.767865772199291,0.000818975595454712,0.000142975561628272,0.0016395935273243,0.0016395935273243,4217.86861727907,4225.9297099209,897.375098965371,954.80652715631
"ENSMUSG00000024663","Rab3il1",1.0984936786772e-201,3.10147920599378e-199,2.4294560513872,0.0801763482319701,6.11128524841908,1.97118200758648,0.00291885397554309,0.00272580459323532,0.00350939284027104,0.00350939284027104,142.901370886478,124.394197320988,1474.62392413917,1564.32498588453
"ENSMUSG00000037035","Inhbb",1.95495284284587e-200,5.42276480670807e-198,-2.11208318330641,0.0699218328186138,8.12669703917279,1.49022449953839,0.000423272342624537,0.00446579036208964,0.00146252073507271,0.00446579036208964,9845.27619412761,9610.65259897955,1098.08840979174,1260.33505711068
"ENSMUSG00000042622","Maff",2.80921526843775e-200,7.65801769125332e-198,-1.95852285629792,0.0648638720196476,6.93514257269612,1.28001998111432,0.00207168511005971,5.23972407425097e-05,0.00213563678332151,0.00213563678332151,2705.88053597738,2766.28306550104,403.182205074441,368.624631510326
"ENSMUSG00000038264","Sema7a",1.64383109281615e-197,4.40518871330783e-195,-1.78331151377454,0.0594777806453701,6.78982198369201,1.06166450090674,0.00123130269539,0.00116547108428644,0.00230630369510876,0.00230630369510876,2134.89218240031,2200.24205538026,381.242095929183,347.285953559863
"ENSMUSG00000024359","Hspa9",7.05321106272577e-197,1.85863866854595e-194,-1.18342359161192,0.039534089310245,8.0942584131043,0.467032620992306,9.42865207596477e-05,0.000208946375870305,0.00146865769683078,0.00146865769683078,5922.04377051919,5915.51933018544,1780.87667430199,1843.97779359678
"ENSMUSG00000021806","Nid2",3.65056583365609e-192,9.46214695015351e-190,1.54669080455302,0.0523063606673156,9.01814519023835,0.79750954427078,0.00130780764290055,-0.00116971368116971,0.00142814772335875,0.00142814772335875,3850.11839400934,3764.90438077781,17944.7639014153,17816.3456831244
