"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"50",73,"Smpdl3a",174.9206,174.1287,1119.952,1292.09,180.7331431,171.4975014,648.3450015,607.6653939,"UBT"
"51",74,"Itgam",433.1014,461.9882,4723.644,5616.862,146.9514912,98.18954264,845.3695526,1576.578874,"UBT"
"52",76,"Gstt1",143.9153,134.081,1909.526,1782.809,145.4315689,162.4579124,1764.958983,1663.550946,"UBT"
"53",77,"Penk",36.03294,32.45863,1938.334,2150.323,56.27311917,52.80450531,4141.269345,4311.596385,"UBT"
"54",82,"Blnk",18.02177272,15.63104734,1745.040229,2360.24992,16.99569282,14.29899258,246.4071864,395.0496411,"UBT"
"55",83,"Fam43a",585.114975,548.1969098,2840.96574,2669.779231,493.485308,510.2510565,1689.608814,1138.946002,"UBT"
"56",84,"Sp100",83.68543,71.77108,2139.211,1856.96,74.90834612,76.24629262,868.2729185,607.0132768,"UBT"
"57",85,"Htra1",2928.126,2937.752,9750.677,9153.86,3105.389218,2812.062542,11728.73661,13391.75681,"UBT"
"58",87,"Adh1",45.20003023,46.00782131,988.4501449,1025.133965,31.02202636,17.5131775,315.1319591,163.7695997,"UBT"
"59",88,"Arsb",1380.870537,1317.857328,4674.72913,4825.354048,1306.35052,1197.701286,4175.983432,3844.647679,"UBT"
"60",90,"Vegfb",453.6782,447.907,2091.799,2337.748,464.5474767,407.6151895,1399.928551,1113.236324,"UBT"
"61",91,"Hexb",928.676,911.3582,11291.44,13901.07,955.740118,935.8701801,3098.816434,3698.07738,"UBT"
"62",93,"C1ra",1986.061057,1914.523859,6591.823824,6284.168531,1964.169246,1746.059393,6199.683295,6232.679505,"UBT"
"63",94,"Trim25",1281.341,1227.131,4473.733,4718.218,672.1920535,688.0289445,2285.469992,2052.364637,"UBT"
"64",95,"Cygb",158.1877659,143.7575127,1171.942932,1313.35059,114.3322397,103.5291999,544.3246272,392.6672037,"UBT"
"65",96,"Steap3",563.3108,518.7591,3158.509,3566.31,490.763331,459.0945987,2133.678241,2137.984614,"UBT"
"66",97,"C1qb",209.419031,261.638673,21885.32655,29679.25083,91.85667119,88.73931418,3498.780263,6201.397371,"UBT"
"67",99,"Dcn",6117.896474,5423.973258,73509.00498,62689.13368,5912.091328,5345.525513,86711.38327,95664.05545,"UBT"
"68",102,"Reps2",71.61872,70.92848,1207.792,1456.175,80.27468084,70.25831611,869.0885763,757.1315321,"UBT"
"69",103,"Mmp13",1123.493,1036.012,4032.163,3883.688,1360.260493,1239.577295,5550.223366,7312.898891,"UBT"
"70",104,"Cd300ld",49.01544784,57.29964076,1158.343376,1292.063566,14.20420346,15.80052627,191.8209819,356.7631625,"UBT"
"71",105,"Ppp1r3b",382.8302,358.8986,1955.95,1880.421,551.9642715,505.7601613,2747.810895,3439.565657,"UBT"
"72",106,"C5ar1",537.3097855,598.0307691,9488.305788,11779.70603,170.0128277,181.2656695,1814.442294,2978.897062,"UBT"
"73",107,"Slc15a3",50.11866,50.99558,896.5129,1018.437,20.98284948,17.9600712,178.5798479,249.8411545,"UBT"
"74",108,"Tapbp",309.0164,354.0537,1798.75,1749.849,410.1323481,384.1741903,2203.491339,2000.712446,"UBT"
"75",111,"H2-T23",583.326,674.7001,4157.924,4441.718,490.7417476,520.467297,2309.69952,1975.888335,"UBT"
"76",112,"Cd72",65.757662,70.48787827,1950.341377,2548.893656,25.39189239,34.27874141,454.8597862,937.2949485,"UBT"
"77",113,"Milr1",48.0632,55.31101,1072.783,1310.212,29.49438673,18.51163842,208.5007462,320.5661754,"UBT"
"78",114,"Cpxm2",227.3282168,236.8805369,1503.022031,1350.209174,165.6582237,166.9444661,1332.012338,1247.219297,"UBT"
"79",117,"Col5a3",963.8287499,933.9392724,3410.839821,3327.660958,989.703839,974.6607572,2445.71261,1550.005102,"UBT"
"80",118,"Mpeg1",804.4207,837.6271,40340.88,56792.27,297.0683834,257.8986318,5693.908287,9691.06881,"UBT"
"81",120,"Cd93",358.3503701,357.3019272,11969.03052,16332.14033,119.2750161,117.6790308,1680.656908,2711.847702,"UBT"
"82",122,"Npc2",7922.95,8072.857,21389.23,23291.95,7956.899388,7730.622694,16386.54446,16416.56211,"UBT"
"83",124,"Atp2a3",60.12136598,58.06856435,1513.93995,1581.146976,19.55297304,9.360728691,205.9525631,466.5812813,"UBT"
"84",125,"Pigt",1634.667,1730.343,5123.659,5555.467,1640.278445,1569.076674,4690.291615,4631.247647,"UBT"
"85",129,"Cxcl12",2315.21908,1836.557343,34737.98746,38080.57579,1329.868513,1285.880113,11480.00001,9313.997874,"UBT"
"86",131,"Tmsb4x",21005.06,21316.79,54212.22,55320.81,19557.57418,19822.28265,32461.4867,39096.48043,"UBT"
"87",132,"Hpgd",17.97588,18.20928,1214.971,1731.666,24.42996574,17.56298926,342.955979,532.0007276,"UBT"
"88",133,"Adamts9",238.9946214,205.9497885,1281.070338,1345.585188,182.8850878,161.7843596,819.983376,506.4807422,"UBT"
"89",134,"Arl11",58.12799923,62.8148761,2484.123337,3466.017781,18.59054123,33.66705469,319.1500493,514.9419233,"UBT"
"90",136,"Abcg1",21.5522684,18.6419478,1056.91479,1406.725975,23.10986605,14.21622258,134.1901646,149.0481997,"UBT"
"91",137,"Ifitm2",5135.382,5152.655,13425.61,13630.57,4463.401215,4255.644052,13452.04463,12978.48199,"UBT"
"92",138,"Mt1",692.142,609.1131,3253.282,3491.845,589.8328321,646.7658817,1722.850286,1780.668535,"UBT"
"93",140,"Pmp22",786.5621,688.517,4565.827,5049.936,675.512462,657.5937413,3504.587691,3038.103614,"UBT"
"94",141,"Lgals3bp",859.8183,941.682,4018.235,3665.776,1137.494278,954.1013933,4753.536734,3664.553241,"UBT"
"95",142,"Fmo1",38.945757,27.74336544,2396.63062,2028.501236,54.46225932,44.85164475,1436.312515,1540.494812,"UBT"
"96",144,"Plek",376.1464,326.7308,7019.1,8925.424,149.982494,141.3823399,1379.178173,2210.555408,"UBT"
"97",146,"Rspo2",153.6938,182.0928,1137.974,1179.05,104.5602534,98.90736059,1138.991416,1352.168516,"UBT"
"98",148,"Rgma",424.0825,462.0536,3804.855,3242.556,372.9613451,348.7953375,2666.974881,2446.423337,"UBT"
"99",149,"Bcl2a1b",13.48191187,12.45898443,1154.946948,1341.302378,9.771986297,6.470574992,127.4495183,181.3950401,"UBT"
"100",150,"Cd33",46.93634649,46.77511511,2410.210139,3499.993381,23.9127511,22.91014031,199.7393691,416.7982804,"UBT"
"101",151,"Id2",830.1995,805.0728,2956.776,2884.209,975.6702944,992.024289,2159.766166,2001.187778,"UBT"
"102",153,"Elmo1",101.2965053,94.45738339,964.5546392,1160.233093,88.07032764,91.91071989,347.8352679,461.1944846,"UBT"
"103",154,"Ptpn7",204.5501,215.2458,1701.088,2063.898,158.2745041,151.5028138,437.1387533,729.7909073,"UBT"
"104",155,"Snx2",3001.962,3091.745,14115.4,16301.64,2979.478622,2911.758746,5666.639616,7336.121145,"UBT"
"105",156,"Pik3cg",97.82261,85.7943,2434.488,3236.067,33.29999663,29.77117117,377.62937,635.1057704,"UBT"
"106",157,"Themis2",38.64815,45.04402,1505.975,2049.496,26.384363,21.26046069,276.8818913,382.1116337,"UBT"
"107",159,"Lpxn",62.01679,70.92037,1435.772,1868.025,22.47556848,24.95793211,232.8324995,412.7227867,"UBT"
"108",160,"Fcer1g",229.4897479,214.6447956,9981.710193,14331.22845,90.84837207,69.26839458,1384.486262,2552.842996,"UBT"
"109",161,"Naga",937.4423,1025.47,3769.467,4132.826,1093.485267,1051.93062,3156.873079,3192.004366,"UBT"
"110",163,"Ube2l6",233.622,237.9318,1263.416,1129.411,239.2767076,212.8386968,1219.380312,1091.384491,"UBT"
"111",165,"Cldn1",20.67226486,15.33413468,1585.236816,1318.485442,22.47556848,26.80666782,1107.527565,661.8342385,"UBT"
"112",168,"Grina",2539.992,2574.218,6838.032,6953.319,3070.358094,2838.733686,6122.86546,5673.618871,"UBT"
"113",169,"Tspan7",1871.22,2075.8,6587.211,6729.966,1905.620027,1689.475037,6543.050163,6439.481546,"UBT"
"114",172,"Casp1",37.74935323,37.37695329,775.6337277,961.6946691,16.6123767,12.01678213,121.660225,175.2224619,"UBT"
"115",173,"Igfbp4",3149.275,3443.026,15470.08,17488.72,4394.880291,4156.273741,16009.60339,19166.29009,"UBT"
"116",175,"Kctd12",1896.334,2038.62,5189.03,5336.712,1919.794059,1961.263592,3342.362203,3218.862967,"UBT"
"117",176,"Asap3",659.7148873,614.3237708,2326.901183,2164.325636,756.3517394,659.9986492,2362.935231,1945.39155,"UBT"
"118",177,"Cxcl16",152.8957432,160.0735866,1382.61483,1706.493349,114.5849242,100.9988205,562.5826827,849.1291476,"UBT"
"119",178,"Gamt",166.0292887,144.7894656,1089.673069,1176.401445,136.4404641,112.8083516,930.7090477,1013.438387,"UBT"
"120",180,"Irf9",852.3682,841.4283,3070.09,2750.502,845.3517109,818.6376878,3331.527363,3080.683609,"UBT"
"121",181,"Mme",83.04668,90.2818,747.8881,759.2433,105.9632289,111.8205157,892.4296378,840.6985422,"UBT"
"122",182,"Ptprc",132.2943,145.6846,2577.385,3393.541,37.90693704,49.49744237,400.2044312,701.9617195,"UBT"
"123",186,"Eid1",3527.621841,3396.488103,9120.824551,8440.117838,3861.111896,3734.823529,8904.025065,9664.76604,"UBT"
"124",188,"Gas1",774.2819648,626.1982551,6785.914691,7220.778553,452.8061867,443.7067103,3975.178726,2627.219649,"UBT"
"125",190,"Coro1a",133.8883643,158.4166614,1654.171432,1971.960868,42.08538393,49.3928806,425.2578074,810.18307,"UBT"
"126",192,"Ctsc",206.0867919,231.6106846,1952.303477,2355.986077,112.0393409,125.6340148,570.142817,744.9408978,"UBT"
"127",193,"Matn2",1025.095,996.31,3120.864,3182.266,957.3353077,985.5206244,4853.999829,3960.114685,"UBT"
"128",194,"Cd52",43.41373399,57.41314302,859.4007252,869.5123861,7.550528943,8.926136256,186.5714972,392.5295859,"UBT"
"129",195,"Selenbp1",18.23975,13.3824,580.9237,623.2767,30.82386944,10.88076882,168.8606502,250.6429668,"UBT"
"130",196,"Tlr2",210.3178,186.8848,1695.071,2037.193,134.8534109,120.1678213,655.4969017,1013.334719,"UBT"
"131",197,"C1s1",169.5550493,145.3697073,943.965703,977.2134916,115.8853671,131.9804844,701.0270455,742.9071811,"UBT"
"132",198,"Nckap1l",371.202,389.1037,9279.297,12837.29,156.3517808,158.0669034,1516.557632,2405.614401,"UBT"
"133",199,"Prkcb",31.98852,29.63659,1044.526,1423.241,26.41457612,24.24539886,141.796585,250.2985308,"UBT"
"136",203,"Oas3",17.53344,15.80683,709.3304,569.0189,17.93862114,11.58616273,144.2251811,181.9709058,"UBT"
"137",204,"Dock8",231.0794964,288.184897,4017.443016,4762.620427,133.4860117,127.61884,1443.329241,1994.58739,"UBT"
"138",205,"Arap3",102.4625302,116.922777,1434.639318,1805.484341,49.83713011,56.38643922,405.8836816,551.0007536,"UBT"
"139",207,"C3ar1",509.6162686,552.0288486,10184.75982,13712.68555,235.5048698,211.8035622,1814.960706,3094.51154,"UBT"
"140",208,"Fes",759.6285679,819.3997075,3730.426471,4299.043462,742.3075131,800.2564676,2239.007943,2639.200921,"UBT"
"141",209,"H2-Q4",402.5524,448.7789,3006.245,2581.614,375.3639373,383.511123,3390.965879,2974.8479,"UBT"
"142",211,"Hpgds",112.8273,154.7731,7811.692,10345.3,45.75624135,24.8658512,1026.356744,1986.999,"UBT"
"143",212,"Hcfc1r1",1038.762,1118.434,3786.513,3439.421,1257.163765,1260.411131,4426.310265,4780.137221,"UBT"
"144",214,"Cmtm3",1211.982411,1226.647015,3410.854696,3762.605876,1230.13192,1268.385261,2586.920474,2333.631461,"UBT"
"145",215,"Uap1l1",341.5231,361.7579,1433.807,1579.653,365.0152964,332.7228203,755.7658299,791.9720092,"UBT"
"146",216,"Rcsd1",71.1547,93.07133,1325.645,1468.888,56.72548449,34.25937084,482.953465,662.855382,"UBT"
"147",217,"Olfml2b",1341.001,1208.521,4494.146,4199.468,1099.348458,1074.115449,4104.983797,3266.948913,"UBT"
"148",218,"Gns",1767.302,1717.257,4306.289,4721.103,1833.926947,1768.745579,3677.471388,3433.242376,"UBT"
"149",219,"Glmp",2946.806614,2923.331715,7712.381394,8387.899983,3233.328531,3112.109529,5953.277962,5703.001704,"UBT"
