D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
1678.827246,1644.450416,895.6709665,831.7789154,Rrs1
1.02581108,1.013184852,0.428356895,3.257136317,Rs1
291.747176,277.2876806,347.2304258,314.0103916,Rsad1
1.954397259,0.924367856,315.6873079,317.7226568,Rsad2
351.2944331,353.9192563,288.3071041,306.3090313,Rsbn1
367.1089172,355.1176419,375.265238,360.2765861,Rsbn1l
98.1122662,104.4105283,13.11858038,153.466661,Rsc1a1
682.6523684,720.151002,592.2948178,585.3624153,Rsf1
43.59092294,54.78393133,51.13278562,48.24858936,Rsg1
92.80991852,95.61577608,105.816834,105.5493891,Rsl1
1097.550989,1109.567643,670.7777814,718.0596602,Rsl1d1
747.3942384,715.2371589,608.1719275,669.5710459,Rsl24d1
43.48601595,61.00430491,39.54433562,42.33762449,Rslcan18
58.63191778,52.68896779,50.34216205,77.05566095,Rsph1
10.20616485,16.10153053,12.38341112,5.544124688,Rsph10b
3.033553782,0,0.653775996,0,Rsph14
717.5139438,697.8791921,922.3004542,1025.791078,Rsph3a
360.3361448,362.3707387,575.3788668,608.211157,Rsph3b
0.977199486,0.924370208,0,1.055559056,Rsph4a
0.97719863,0.924367856,0,0,Rsph6a
65.56904368,66.22291484,101.7800004,113.3594157,Rsph9
25.95927635,28.61564344,19.77636772,39.62965132,Rspo1
104.5602534,98.90736059,1138.991416,1352.168516,Rspo2
161.3671611,184.3564157,1751.39545,1201.64264,Rspo3
0.97719863,3.697471424,1.048795043,2.111113999,Rspo4
1059.242918,1045.927752,1313.841889,1224.181391,Rspry1
1273.421974,1088.75137,1374.971247,1243.343532,Rsrc1
1465.96414,1477.550955,1321.990984,1219.781039,Rsrc2
1320.373372,1443.116146,1111.446995,1141.464645,Rsrp1
5154.153761,4853.520552,6447.839634,6639.313303,Rsu1
20.33527666,25.49808369,10.93748364,9.054543132,Rtbdn
596.835457,589.6323143,655.0135633,736.9880866,Rtca
4046.859099,3967.142329,4895.645654,5360.915632,Rtcb
230.0115761,241.3240291,168.4864762,186.6758987,Rtel1
176.2482708,172.9696548,214.7003909,184.9646702,Rtf1
2558.168698,2387.030333,2763.308802,3009.544201,Rtfdc1
168.4651928,169.1284181,279.9531736,278.0138633,Rtkn
50.39993878,73.77412397,91.03202637,116.2761088,Rtkn2
80.13028763,75.55245141,201.0301864,162.3315777,Rtl1
95.76546571,80.42000347,97.53793898,82.33344594,Rtl10
512.052082,513.9485279,1919.294928,1431.335291,Rtl3
1.598632243,6.04765379,1.713845085,1.718168104,Rtl4
407.9721145,295.44343,503.6378023,352.9193698,Rtl5
980.1302256,904.956131,845.3288045,768.4454955,Rtl6
1205.218855,1281.680338,2201.211042,2263.91534,Rtl8a
2145.595246,2030.32969,3597.988527,3702.09282,Rtl8b
464.1693491,430.7554209,1197.305701,1164.27937,Rtl8c
4.885993148,5.546207136,39.85421163,36.94449497,Rtl9
14.15097981,13.5829891,10.36486437,32.2562857,Rtn1
252.0706856,279.5998014,965.7745192,1020.374092,Rtn2
8513.625741,8437.5554,9250.275255,8814.495656,Rtn3
21057.19625,20857.93765,12637.64578,12682.03289,Rtn4
