ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-7238-5p,0,0,0,0
mmu-miR-7237-5p,0,0,2,0
mmu-miR-7237-3p,0,0,0,1
mmu-miR-7236-3p,8,4,11,4
mmu-miR-7235-3p,2,0,0,0
mmu-miR-7231-5p,3,2,1,2
mmu-miR-7227-3p,0,0,2,3
mmu-miR-7226-5p,0,0,1,0
mmu-miR-7226-3p,6,4,2,1
mmu-miR-7224-5p,1,2,2,3
mmu-miR-7224-3p,90,61,76,64
mmu-miR-7222-3p,0,0,2,0
mmu-miR-7219-5p,0,0,1,0
mmu-miR-7219-3p,7,3,15,19
mmu-miR-7213-5p,0,0,0,3
mmu-miR-7213-3p,0,0,0,0
mmu-miR-7212-5p,2,2,1,0
mmu-miR-7212-3p,0,2,0,0
mmu-miR-713,0,1,0,0
mmu-miR-712-5p,0,0,0,2
mmu-miR-7119-5p,0,0,0,0
mmu-miR-7118-5p,0,0,0,3
mmu-miR-7118-3p,3,6,1,5
mmu-miR-7117-5p,5,3,2,0
mmu-miR-7116-5p,0,2,1,1
mmu-miR-7116-3p,0,3,1,2
mmu-miR-7115-5p,1,1,4,4
mmu-miR-7115-3p,0,0,0,0
mmu-miR-7093-5p,2,1,4,1
mmu-miR-7093-3p,6,4,2,4
mmu-miR-7092-5p,2,5,8,0
mmu-miR-7092-3p,0,1,3,0
mmu-miR-7091-5p,4,7,2,3
mmu-miR-7091-3p,1,1,0,0
mmu-miR-7090-5p,2,1,1,0
mmu-miR-709,7,4,7,7
mmu-miR-7089-5p,5,2,1,2
mmu-miR-7089-3p,0,0,0,0
mmu-miR-7088-3p,0,3,0,0
mmu-miR-7087-5p,2,0,0,0
mmu-miR-7086-5p,0,0,0,0
mmu-miR-7085-5p,1,1,0,0
mmu-miR-7085-3p,4,4,6,5
mmu-miR-7084-5p,1,5,1,2
mmu-miR-7084-3p,0,1,1,0
mmu-miR-7083-5p,13,16,7,13
mmu-miR-7083-3p,0,0,0,0
mmu-miR-7082-3p,1,2,2,1
mmu-miR-7081-3p,0,8,7,3
mmu-miR-7080-3p,1,0,0,0
mmu-miR-708-5p,2378,1910,5635,3386
mmu-miR-708-3p,1267,820,4103,2614
mmu-miR-7079-5p,0,0,0,0
mmu-miR-7079-3p,2,2,0,1
mmu-miR-7078-5p,0,0,0,0
